LncRNA name	Synonyms	geneid	ensg_name	refseq_id	position	cancer type	ICD-0-3	ICD-0-3	methods	sample	regulated	function description	pubmed id	year	title	drug	circulating	survival	miR	variant	TF	methylation
NR_028494	LYRM2, DJ122O8.2	NA	NA	NA	NA	papillary thyroid cancer	NA	M8260/3	microarray, qPCR etc.	blood	down-regulated	Compared with 131I-avid lung metastases, we discovered that two lncRNAs (ENST00000462717 and ENST00000415582) were upregulated and two (TCONS_00024700 and NR_028494) were downregulated in the non-131I-avid lung metastases of PTC. Low (ENST00000462717 and ENST00000415582) and high plasma lncRNA levels(TCONS_00024700and NR_028494) were also found to be associated with better prognosis of PTC patients with lung metastases.	27997908	2016	Circulating Long Non-Coding RNAs Act as Biomarkers for Predicting 131I Uptake and Mortality in Papillary Thyroid Cancer Patients with Lung Metastases.	0	1	1	0	0	0	0
NR_028500	LDHA, GSD11, HEL-S-133P, LDHM, PIG19	NA	NA	NA	NA	lung squamous cell carcinoma	C34	M8070/3	microarray, qPCR etc.	LSCC tissues	up-regulated	Quantitative polymerase chain reaction (RT-qPCR) was used to further validate the expression levels of the 26 candidate lncRNAs in a training set of 24 pairs of early stage LSCC and NT samples. Among these 26 candidates, five were validated which had significantly different expressions in the early stage LSCC samples.	28076325	2017	Identification of long noncoding RNAs for the detection of early stage lung squamous cell carcinoma by microarray analysis.	0	0	0	0	0	0	0
NR_029373	LEF1-AS1, LEF1NAT	641518	ENSG00000232021	NR_029373	GRCh38_4:108176288-108256836	acute myeloid leukemia	NA	M9861/3	microarray, qPCR etc.	bone marrow	down-regulated	To confirm the microarray data, we selected 97 dysregulated lncRNAs from the microarray analysis of 22 pediatric AML samples and 20 control samples using qRT-PCR. Our data revealed that the lncRNA expression profile in pediatric AML was significantly different from normal controls. A total of 24 lncRNAs were confirmed to be dysregulated in pediatric AML	26573779	2016	Microarray profiling of bone marrow long non-coding RNA expression in Chinese pediatric acute myeloid leukemia patients.	0	0	1	1	0	0	0
NR_029373	LEF1-AS1, LEF1NAT	641518	ENSG00000232021	NR_029373	GRCh38_4:108167525-108256836	glioblastoma	NA	M9440/3	qPCR, Western blot	celll ines (Human 293FT cells and U251 and U87 glioma cells)	up-regulated	Here, for the first time, the effects of lncRNA lymphoid enhancer-binding factor 1 antisense RNA 1 (LEF1-AS1) on GBM progression both in vitro and in vivo are investigated.Finally, the in vivo experiment also demonstrated that knockdown LEF1-AS1 inhibited the growth-promoting effect of LEF1-AS1 of U87 cells.Several publications have recently provided compelling evidence that the expression patterns of lncRNAs were of vast importance associated with the pathogenesis of malignant tumors, including tumorigenesis, drug resistance, and metastasis.The Kaplan–Meier analysis and the log-rank test indicated that the 5-year overall survival in GBM patients with high expression of LEF1-AS1 was notably shorter than that with low expression (P<0.0001) (Figure 1B). 	28894380	2017	LEF1-AS1, a long-noncoding RNA, promotes malignancy in glioblastoma.	1	0	1	0	0	0	0
NR_029373	LEF1-AS1, LEF1NAT	641518	ENSG00000232021	NR_029373	GRCh38_4:108167525-108256836	colorectal cancer	C19.9	NA	microarray, qPCR etc.	CRC tissues	down-regulated	The expression of all 18 candidate lncRNAs was evaluated by RT-qPCR, using 80 pairs of CRC and control tissue samples. Among these, eight lncRNAs (MALAT-1, NR_029373, NR_046321, NR_034119, GAS5, BANCR, NR_026817 and PCAT-1) were found significantly dysregulated in CRC tumor tissues compared with controls.	27591862	2016	Identification of long noncoding RNAs as potential novel diagnosis and prognosis biomarkers in colorectal cancer.	0	0	1	0	0	0	0
NR_033663	EPOR, EPO-R	NA	NA	NA	NA	gastric cardia adenocarcinoma	C16.0	M8140/3	microarray, qPCR etc.	gastric cancer tissues	down-regulated	We found that ASHG19A3A029791, ASHG19A3A034382, ASHG19A3A028003, ASHG19A3A013479, ASHG19A3A022744, ASHG19A3A025864, ASHG19A3A043106 and ASHG19A3A03455, were up-regulated, and ASHG19A3A007791, ASHG19A3A050006, ASHG19A3A051125, ASHG19A3A011053 were down-regulated in the GCa samples compared with normal samples. Thus, the results from the qPCR analysis and the microarray data analysis were consistent.	24414129	2014	Microarray expression profile analysis of long non-coding RNAs of advanced stage human gastric cardia adenocarcinoma.	0	0	0	0	0	0	0
NR_033878	LINC00944	387895	ENSG00000256128	NR_033878	GRCh38_12:126752164-126761045	osteosarcoma	NA	M9180/3	microarray, qPCR, MTT assay etc.	cell line (MG63/DXR)	up-regulated	The results showed that lncRNA ENST00000563280, uc021pbg.1, ENST00000568031, ENST00000545508, uc010lgv.1, ENST00000553559 and uc003txt.3 were up-regulated and that NR-036444, ENST00000440570, ENST00000476909, NR_040001, ENST00000457390, uc002sts.4, ENST00000576810 and ENST00000565617 were down-regulated in the doxorubicin-resistant MG63/DXR cells compared with their parental MG63 cell controls.	26464619	2015	Long noncoding RNA expression profiles of the doxorubicin-resistant human osteosarcoma cell line MG63/DXR and its parental cell line MG63 as ascertained by microarray analysis.	doxorubicin	0	1	0	1	1	0
NR_033878	LINC00944	387895	ENSG00000256128	NR_033878	GRCh38_12:126729787-126772411	colorectal cancer	C19.9	NA	microarray, qPCR etc.	CRC tissues	down-regulated	Four significantly up-regulated (NR_046711, NR_036537, NR_036580, and NR_002795) and two significantly down-regulated (NR_033878 and NR_036484) lncRNAs showed the same fold change patterns as those in the microarray results.	27165481	2016	Genome-wide analysis of long noncoding RNA (lncRNA) expression in colorectal cancer tissues from patients with liver metastasis.	0	0	0	0	0	0	0
NR_034077.1	THAP9-AS1	100499177	ENSG00000251022	NR_034075	GRCh38_4:82893009-82900960	cervical cancer	C53	NA	microarray, qPCR etc.	cervical cancer tissues	up-regulated	We selected 18 lncRNAs for real-time PCR quantification in 20 cervix cancer and normal cervix tissues separately. The data showed that the selected lncRNAs were upregulated in cervix cancer tissues significantly, compared to the normal cervix tissues.	26054679	2015	Systematic gene microarray analysis of the lncRNA expression profiles in human uterine cervix carcinoma.	0	0	0	0	0	0	0
NR_034174	VNN2, FOAP-4, GPI-80	NA	NA	NA	NA	lung adenocarcinoma	C34	M8140/3	microarray, qPCR etc.	lung adenocarcinoma tissues	down-regulated	The remaining 10 lncRNAs, showed significantly different expression in the tumor samples. For 9 of these, expression was altered in the same direction as had been detected by microarray analysis. Differentially expressed lncRNAs in early stage lung adenocarcinoma and suggest that lncRNAs may be novel candidate biomarkers for the early detection of this disease.	25758555	2015	Identification of biomarkers for the detection of early stage lung adenocarcinoma by microarray profiling of long noncoding RNAs.	0	0	0	0	0	0	0
NR_036468.1	CIDEA, CIDE-A	NA	NA	NA	NA	esophageal squamous cell cancer	NA	NA	microarray, qPCR etc.	ESCC tissues	down-regulated	Therefore, we chose 10 significant differentially expressed lncRNAs randomly from microarray results.	27035335	2016	Microarray expression profile analysis of aberrant long non-coding RNAs in esophageal squamous cell carcinoma.	0	0	1	0	0	1	0
NR_036575.1	LOC729966, DPDE1, PDE4C	NA	ENSG00000105650	NA	GRCh38_19:18208652-18248200	papillary thyroid cancer	NA	M8260/3	qPCR, RNAi, Cell proliferation assay, Cell migration assay etc.	PTC tissues, cell lines (Nthy-ori 3-1, TPC1, IHH-4)	up-regulated	The expression levels of the lncRNA NR_036575.1 were significantly higher in PTC tissues than in adjacent non-cancerous tissues. High NR_036575.1 expression was associated with extrathyroidal extension and tumour size. NR_036575.1 knock-down significantly inhibited the proliferation and migration of TPC1 cells.	27510368	2016	Overexpression of long non-coding RNA NR_036575.1 contributes to the proliferation and migration of papillary thyroid cancer.	0	0	0	0	0	0	0
NR_037144	PLEKHA9	51054	ENSG00000134297	NR_037144	GRCh38_12:45173064-45216041	glioblastoma	NA	M9440/3	Microarray, qPCR, Western blot, Luciferase reporter assay, etc	cell lines(U87, U251), glioblastoma tissues	down-regulation	Taken together, these findings highlight a novel oncogenic function of circRNA in glioblastoma tumorigenesis. To validate these results, 6 circRNAs NR_002791, and ENST00000398460) were selected randomly for qRT-PCR analysis. The results indicated that the expression levels of the 6 lncRNAs and 6 circRNAs detected by qRT-PCR were consistent with those of the microarray assays (Fig. S2). (hsa_circ_0001162, hsa_circ_0006774, hsa_circ_0077232, hsa_circ_0006847, hsa_circ_0037751,and hsa_circ_0083682) and 6 lncRNAs (lnc-BET3L-2:1, NR_002734, NR_037144, NR_024442, NR_002791, and ENST00000398460) were selected randomly for qRT-PCR analysis. The results indicated that the expression levels of the 6 lncRNAs and 6 circRNAs detected by qRT-PCR wereconsistent with those of the microarray assays (Fig. S2) Microarray profiling of circRNA/lncRNA/mRNA in glioblastoma identifies circNT5E as an oncogenic circular RNA and a sponge of miR-422a.	29967262	2018	CircNT5E acts as a sponge of microRNA-424a to promote glioblastoma tumorigenesis.	0	0	0	1	0	0	0
NR_037645.1	TMX2, CGI-31, PDIA12, PIG26, TXNDC14	NA	NA	NA	NA	cervical cancer	C53	NA	microarray, qPCR etc.	cervical cancer tissues	up-regulated	We selected 18 lncRNAs for real-time PCR quantification in 20 cervix cancer and normal cervix tissues separately. The data showed that the selected lncRNAs were upregulated in cervix cancer tissues significantly, compared to the normal cervix tissues.	26054679	2015	Systematic gene microarray analysis of the lncRNA expression profiles in human uterine cervix carcinoma.	0	0	0	0	0	0	0
NR_037661	FKBP1A-SDCBP2	NA	NA	NA	NA	colorectal cancer	C19.9	NA	microarray, qPCR etc.	CRC tissues	down-regulated	To verify the microarray results, we randomly selected 4 upregulated lncRNAs and 3 downregulated lncRNAs from the differentially expressed lncRNAs in the microarray. qRT-PCR method was used to confirm the expression levels of the selected lncRNAs in the CRC tissues and paired adjacent normal tissues used in the microarray test. Despite the fact that the fold change of each selected lncRNA in the qRT-PCR test was not in full accord with the microarray data, the variation tendency of each lncRNA was consistent with the result of the micro-array.	26847923	2016	Expression profile of long non-coding RNAs in colorectal cancer: A microarray analysis.	0	0	0	0	0	0	0
NR_037793.1	LRR1, 4-1BBLRR, LRR-1, PPIL5	NA	NA	NA	NA	cervical cancer	C53	NA	microarray, qPCR etc.	cervical cancer tissues	up-regulated	We selected 18 lncRNAs for real-time PCR quantification in 20 cervix cancer and normal cervix tissues separately. The data showed that the selected lncRNAs were upregulated in cervix cancer tissues significantly, compared to the normal cervix tissues.	26054679	2015	Systematic gene microarray analysis of the lncRNA expression profiles in human uterine cervix carcinoma.	0	0	0	0	0	0	0
NR_038125	CAPZB, CAPB, CAPPB, CAPZ	NA	NA	NA	NA	lung adenocarcinoma	C34	M8140/3	microarray, qPCR etc.	lung adenocarcinoma tissues	down-regulated	The remaining 10 lncRNAs, showed significantly different expression in the tumor samples. For 9 of these, expression was altered in the same direction as had been detected by microarray analysis. Differentially expressed lncRNAs in early stage lung adenocarcinoma and suggest that lncRNAs may be novel candidate biomarkers for the early detection of this disease.	25758555	2015	Identification of biomarkers for the detection of early stage lung adenocarcinoma by microarray profiling of long noncoding RNAs.	0	0	0	0	0	0	0
NR_038200	MRLN, LINC00948, Linc-RAM, M1, MLN, MUSER1	NA	NA	NA	NA	lung squamous cell carcinoma	C34	M8070/3	microarray, qPCR etc.	LSCC tissues	up-regulated	Five lncRNAs (ENST00000584612, ENST00000579363, NR_038200, ENST00000466677 and ENST00000562112) were randomly selected to validate the microarray consistency by using qPCR. The results demonstrated that lncRNA ENST00000584612 and ENST00000579363 were downregulated and that NR_038200, ENST00000466677 and ENST00000562112 were upregulated in the PR samples compared with PD samples.	25250788	2014	Long noncoding RNAs expression patterns associated with chemo response to cisplatin based chemotherapy in lung squamous cell carcinoma patients.	cisplatin 	0	0	0	0	0	0
NR_038435	HOXD-AS2	100506783	ENSG00000237380	NR_038435	GRCh38_2:176121611-176137098	ovarian cancer	C56.9	NA	microarray, qPCR etc.	cell lines (A2780, CP70, SKOV3, and SKOV3/DDP)	down-regulated	The lncRNA microarray analysis and qPCR identified seven lncRNAs that were significantly downregulated. 	28128423	2017	Long non-coding RNA ENST00000457645 reverses cisplatin resistance in CP70 ovarian cancer cells.	cisplatin 	0	0	0	0	0	0
NR_038990	EHHADH-AS1	339926	ENSG00000223358	NR_038990	GRCh38_3:185162871-185191955	colorectal cancer	C19.9	NA	microarray, qPCR etc.	cell line (HCT116)	down-regulated	To validate the microarray results, we randomly selected 6 differentially expressed lncRNAs (TCONS_00026506, ENST00000468960, NR_038990, ENST00000575202, ENST00000539009 and ENST00000544591) between CRR-HCT116 and parental HCT116 cells to confirm their expression levels by qPCR. Changes in lncRNA expression are involved in 5-FU-based CRR in CRC cells. 	25921151	2015	Microarray Analysis of Long Non-coding RNA Expression Profile Associated with 5-Fluorouracil-Based Chemoradiation Resistance in Colorectal Cancer Cells.	5-FU 	0	0	0	0	0	0
NR_040001	LINC01116, TALNEC2	375295	ENSG00000163364	NR_040001	GRCh38_2:176629589-176637931	prostate cancer	C61.9	NA	RNA-seq, qPCR, RNAi etc.	cell lines (PRECs, LNCaP)	up-regulated	Knockdown of LINC01116 with siRNA decreased proliferation of prostate cancer cells and significantly up-regulated several genes including GAPDH (regulates glycolysis), MAP1LC3B2 (autophagy) and H2AFY (chromatin structure). A four-fold decrease in the ability of the cancer cells to form colonies was found when the LINC01116 gene was disrupted through a CRISPR/CAS9 method, further supporting an oncogenic function for LINC01116 in PC-3 cells.	28131897	2017	Long noncoding RNAs and sulforaphane: a target for chemoprevention and suppression of prostate cancer.	0	0	0	0	0	0	0
NR_040001	LINC01116, TALNEC2	375295	ENSG00000163364	NR_040001	GRCh38_2:176629589-176637931	osteosarcoma	NA	M9180/3	microarray, qPCR, MTT assay etc.	cell line (MG63/DXR)	down-regulated	The results showed that lncRNA ENST00000563280, uc021pbg.1, ENST00000568031, ENST00000545508, uc010lgv.1, ENST00000553559 and uc003txt.3 were up-regulated and that NR-036444, ENST00000440570, ENST00000476909, NR_040001, ENST00000457390, uc002sts.4, ENST00000576810 and ENST00000565617 were down-regulated in the doxorubicin-resistant MG63/DXR cells compared with their parental MG63 cell controls.	26464619	2015	Long noncoding RNA expression profiles of the doxorubicin-resistant human osteosarcoma cell line MG63/DXR and its parental cell line MG63 as ascertained by microarray analysis.	doxorubicin	0	1	0	0	0	0
NR_040001	LINC01116, TALNEC2	375295	ENSG00000163364	NR_040001	GRCh38_2:176629589-176637931	glioma	NA	M9380/3	qPCR, Western blot etc.	cell lines (A172, U87)	up-regulated	TALNEC2 was highly expressed in GBM with poor prognosis, in GBM specimens derived from short-term survivors and in glioma cells and glioma stem cells.Two of the downregulated miRNAs,miR-21 and miR-191, mediated some of TALNEC2 effects on the stemness and mesenchymal transformation of GSCs. 	28423669	2017	The novel long non-coding RNA TALNEC2, regulates tumor cell growth and the stemness and radiation response of glioma stem cells	0	0	0	1	0	0	0
NR_045617	SMPX, DFN6, DFNX4	NA	NA	NA	NA	colorectal cancer	C19.9	NA	microarray, qPCR etc.	CRC tissues	up-regulated	To verify the microarray results, we randomly selected 4 upregulated lncRNAs and 3 downregulated lncRNAs from the differentially expressed lncRNAs in the microarray. qRT-PCR method was used to confirm the expression levels of the selected lncRNAs in the CRC tissues and paired adjacent normal tissues used in the microarray test. Despite the fact that the fold change of each selected lncRNA in the qRT-PCR test was not in full accord with the microarray data, the variation tendency of each lncRNA was consistent with the result of the micro-array.	26847923	2016	Expression profile of long non-coding RNAs in colorectal cancer: A microarray analysis.	0	0	0	0	0	0	0
NR_046028	ACOT2, CTE-IA, CTE1A, MTE1, PTE2, PTE2A, ZAP128	NA	NA	NA	NA	clear cell renal cell carcinoma	C64.9	M8005/0	microarray, qPCR etc.	primary RCCC tissues	down-regulated	For the lncRNAs, the results demonstrated that TCONS_12_00012336, NR_046028.1, and NONHSAT123350 were downregulated, and that NONHSAT024642, NONHSAG019720, and NONHSAG010125 were upregulated in RCCC tissues relative to their matched counterparts, and these results were consistent with the microarray data.	26765468	2016	Screening for the Key lncRNA Targets Associated With Metastasis of Renal Clear Cell Carcinoma.	0	0	1	0	0	1	0
NR_046321	GPX2, GI-GPx, GPRP, GPRP-2, GPx-2, GPx-GI, GSHPX-GI, GSHPx-2	NA	NA	NA	NA	colorectal cancer	C19.9	NA	microarray, qPCR etc.	CRC tissues	down-regulated	The expression of all 18 candidate lncRNAs was evaluated by RT-qPCR, using 80 pairs of CRC and control tissue samples. Among these, eight lncRNAs (MALAT-1, NR_029373, NR_046321, NR_034119, GAS5, BANCR, NR_026817 and PCAT-1) were found significantly dysregulated in CRC tumor tissues compared with controls.	27591862	2016	Identification of long noncoding RNAs as potential novel diagnosis and prognosis biomarkers in colorectal cancer.	0	0	1	0	0	0	0
NR_046711	POU6F2-AS1	100861520	ENSG00000224122	NR_046711	GRCh38_7:39404598-39406346	colorectal cancer	C19.9	NA	microarray, qPCR etc.	CRC tissues	up-regulated	Four significantly up-regulated (NR_046711, NR_036537, NR_036580, and NR_002795) and two significantly down-regulated (NR_033878 and NR_036484) lncRNAs showed the same fold change patterns as those in the microarray results.	27165481	2016	Genome-wide analysis of long noncoding RNA (lncRNA) expression in colorectal cancer tissues from patients with liver metastasis.	0	0	0	0	0	0	0
NR_047562	PDLIM3, ALP	NA	NA	NA	NA	lung adenocarcinoma	C34	M8140/3	microarray, qPCR etc.	lung adenocarcinoma tissues	down-regulated	The remaining 10 lncRNAs, showed significantly different expression in the tumor samples. For 9 of these, expression was altered in the same direction as had been detected by microarray analysis. Differentially expressed lncRNAs in early stage lung adenocarcinoma and suggest that lncRNAs may be novel candidate biomarkers for the early detection of this disease.	25758555	2015	Identification of biomarkers for the detection of early stage lung adenocarcinoma by microarray profiling of long noncoding RNAs.	0	0	0	0	0	0	0
NR_047677.1	TARS, ThrRS	NA	NA	NA	NA	cervical cancer	C53	NA	microarray, qPCR etc.	cervical cancer tissues	up-regulated	We selected 18 lncRNAs for real-time PCR quantification in 20 cervix cancer and normal cervix tissues separately. The data showed that the selected lncRNAs were upregulated in cervix cancer tissues significantly, compared to the normal cervix tissues.	26054679	2015	Systematic gene microarray analysis of the lncRNA expression profiles in human uterine cervix carcinoma.	0	0	0	0	0	0	0
NR_073085	PRSS21, ESP-1, ESP1, TEST1, TESTISIN	NA	ENSG00000007038	NA	GRCh38_16:2817180-2826304	papillary thyroid cancer	NA	M8260/3	microarray, qPCR etc.	PTC tissues	up-regulated	To verify the microarray data, 8 differentially expressed lncRNAs, including 4 upregulated (ENST00000503723, ENST00000423539, uc003tab.3 and NR_073085) and 4 downregulated (ENST00000515275, ENST00000570022, uc003qef.1 and ENST00000427243) lncRNAs, were randomly selected for RT-qPCR in 33 pairs of PTC and adjacent noncancerous tissues. 	27347178	2016	Long noncoding RNA are aberrantly expressed in human papillary thyroid carcinoma.	0	0	0	0	0	0	0
NR_073085	PRSS21, ESP-1, ESP1, TEST1, TESTISIN	NA	ENSG00000007038	NA	GRCh38_16:2817180-2826304	gastric cancer	C16	NA	microarray, qPCR etc.	gastric cancer tissues	up-regulated	The expression levels of six up-regulated lncRNAs (XLOC_010235, CACNAICAS3, INTS7, AC104699.1, TSNAX-DISC1, and PRSS21) and six down-regulated lncRNAs (RP11-789C1.1, RP11-528G1.2, MYLK-AS1, RP11-643M14.1, GS1-5L10.1, and AP001439.2) were determined by using qPCR.	26045391	2015	Identification of differentially expressed signatures of long non-coding RNAs associated with different metastatic potentials in gastric cancer.	0	0	1	0	0	0	0
NR_073453	LINC00601	101101772	ENSG00000235180	NR_073453	GRCh38_10:126413869-126421879	hepatocellular carcinoma	C22.0	M8170/3	qPCR etc.	HCC tissues, cell line (MHCC97H-OXA)	up-regulated	qPCR results demonstrated that lncRNA ENST00000438347, NR_073453, ENST00000460497, NR_033928, NEST00000480069, ENST00000421965, AK055628 and TCONS_00014652 were up-regulated in MHCC97H-OXA cells in consistent with microarray results.	27729273	2017	Identification of long noncoding RNA expression profile in oxaliplatin-resistant hepatocellular carcinoma cells.	oxaliplatin	0	1	0	0	0	0
NR_073453	LINC00601	101101772	ENSG00000235180	NR_073453	GRCh38_10:126413869-126421879	hepatocellular carcinoma	C22.0	M8170/3	qPCR etc.	HCC tissues, cell line (MHCC97H-OXA)	up-regulated	The results showed that the expression levels of lncRNA ENST00000438347, ENST00000518376, ENST00000502804, and NR_073456 were significantly higher in HCC specimens than those in corresponding adjacent non-tumorous tissues.	27729273	2017	Identification of long noncoding RNA expression profile in oxaliplatin-resistant hepatocellular carcinoma cells.	oxaliplatin	0	1	0	0	0	0
NR2F1-AS1	NA	441094	ENSG00000237187	NR_021490	GRCh38_5:93409359-93585648	hepatocellular carcinoma	C22.0	M8170/3	qPCR, Microarray, Western blot etc.	cell lines (Huh7, HepG2, Lo-2), HCC tissues	up-regulated	miR-363 targeted the 3'-UTR of NR2F1-AS1 and  ABCC1 mRNA,presenting that NR2F1-AS1 promoted ABCC1 expression through endogenous sponging miR-363.NR2F1-AS1 regulates HCC OXA resistance through targeting miR-363-ABCC1 pathway,providing a vital theoretic mechanism and therapeutic target for HCC chemoresistance.	29602203	2018	LncRNA NR2F1-AS1 regulates hepatocellular carcinoma oxaliplatin resistance by targeting ABCC1 via miR-363. 	1	0	1	1	0	0	0
NRG1	NRG1, ARIA, GGF, GGF2, HGL, HRG, HRG1, HRGA, MST131, MSTP131, NDF, NRG1-IT2, SMDF	NA	ENSG00000157168	NA	GRCh38_8:31639386-32767959	lung cancer	C34	NA	qPCR etc.	lung cancer tissues	up-regulated	High expression was observed in cancer tissues, which was consistent with our previous study that NRG1 was highly expressed in lung cancer induced by nickel. NRG1 was located on chromosome 2q12, within intron2 of ADAMTS6, a disintegrin and metalloproteinase with thrombospondin motifs. And, NRG1 had a high level of homology (76 %) to rat LINE1 sequence RL1.3 (long interspersed middle repetitive DNA)	22665269	2012	Isolation and characterization of a novel noncoding RNA from nickel-induced lung cancer.	0	0	0	0	0	0	0
NUMB	NUMB, C14orf41, S171, c14_5527	NA	ENSG00000133961	NA	GRCh38_14:73275107-73458617	acute myeloid leukemia	NA	M9861/3	microarray, qPCR etc.	cell lines (K562 and NB4)	up-regulated	In this study, we expand the analysis of CEBPA transcriptional targets to the newly identified class of long non-coding RNAs. We show that lncRNAs are a main component of the transcriptional program driven by C/EBPa and that many of these are also induced during granulocytic differentiation of AML cell lines supporting their relevance in proliferation arrest and differentiation.	25252716	2014	CEBPA-regulated lncRNAs, new players in the study of acute myeloid leukemia.	0	0	0	0	0	0	0
OGFRP1	NA	388906	ENSG00000182057	NR_036498	GRCh38_22:42269753-42275196	hepatocellular carcinoma			Western blot assays, qPCR	Hep3B and HepG2 cells	up-regulated	Cell proliferation of Hep3B was significantly inhibited by down-regulation of lncRNA OGFRP1 (P<0.05).Cell migration and invasion of Hep3B were also significantly inhibited by down-regulation of lncRNA OGFRP1. Wnt/B-catenin signaling pathway, involved in epithelial-mesenchymal transition (EMT), was inactivated by lncRNA OGFRP1 downregulation, including decreased expression of Wnt3a, B-catenin, N-cadherin and vimentin and increased expression of E-cadherin.the inhibitory effect of lncRNA OGFRP1 knockdown on Hep3B was mediated by the AKT/mTOR signaling pathway and IGF-1, an AKT signaling activator, could rescue the cellular phenotype. However, knockdown of lncRNA OGFRP1 did not influence cell proliferation, migration and invasion in HepG2 cells.	29997441	2018	Downregulation of lncRNA OGFRP1 inhibits hepatocellular carcinoma progression by AKT/mTOR and Wnt/β-catenin signaling pathways.	0	0	0	0	0	0	0
OIP5-AS1	OIP5-AS1, cyrano, linc-OIP5	729082	ENSG00000104147	NR_026757	GRCh38_15:41283990-41309737	glioma	NA	M9380/3	qPCR, RNAi, Western blot, Cell proliferation assay etc.	glioma tissues, cell lines (T98G and A172)	up-regulated	Level of linc-OIP5 was up-regulated in glioma tissues and significantly correlated with the advanced tumor stage (III/IV). Knockdown of linc-OIP5 can inhibit glioma cells proliferation, migration in vitro and tumor formation in vivo. Further mechanistic studies revealed the effect of linc-OIP5 knockdown on glioma cell phenotype at least partially through down-regulation of YAP and inhibition of Notch signaling pathway activity.	28189759	2017	Knockdown of linc-OIP5 inhibits proliferation and migration of glioma cells through down-regulation of YAP-NOTCH signaling pathway.	0	0	0	0	0	0	0
OIP5-AS1	OIP5-AS1, cyrano, linc-OIP5	729082	ENSG00000247556	NR_026757	GRCh38_15:41283990-41309737	cervical cancer	C53	NA	qPCR, RIP etc.	cell line (HeLa)	differential expression	To begin examining the function of lncRNA OIP5-AS1, we silenced it in HeLa cells by transfecting a pool of siRNAs directed at OIP5-AS1 and studied the ensuing changes in cell numbers. Silencing OIP5-AS1 promoted cell proliferation.	26819413	2016	LncRNA OIP5-AS1/cyrano sponges RNA-binding protein HuR.	0	0	0	1	0	0	0
OIP5-AS1	OIP5-AS1, cyrano, linc-OIP5	729082	ENSG00000247556	NR_026757	GRCh38_15:41283990-41309737	ovarian cancer	C56.9	NA	qPCR etc.	cell line (A2780 and SW-5)	down-regulated	We carried out the lncRNA sequencing of the ovarian cancer cell line A2780 and the paxitaxel resistant cell line A2783/PTX which is also cross resistant to the cisplatin and epirubicin. Through integrating the published data with the cisplatin resistant.	29219179	2018	Multidrug resistant lncRNA profile in chemotherapeutic sensitive and resistant ovarian cancer cells.	cisplatin, epirubicin	0	0	0	0	0	0
OIP5-AS1	OIP5-AS1, cyrano, linc-OIP5	729082	ENSG00000247556	NR_026757	GRCh38_15:41283990-41309737	hepatoblastoma	C22.0	M8970/3	qPCR, Western blot, RIP etc.	hepatoblastoma tissues, cell lines (HepG2, HuH-6, SMMC-7721, QSG-7701 and L-02)	up-regulated	OIP5-AS1 was oncogenic in hepatoblastoma for the high expression of it in hepatoblastoma tissues and cells. OIP5-AS1 knockdown was carried out in cancer cells.Unsurprisingly,this action was verified to be able to inhibit cell proliferation, metastasis and EMT  progress in hepatoblastoma.We discovered OIP5-AS1 is located in nucleus of cancerous cells.It could target to miR-186a-5p and up-regulate the target gene of miR-186a-5p (ZEB1).Based on all above findings,we came into a conclusion that OIP5-AS1 is a ceRNA in Hepatoblastoma cells through modulating miR-186a-5p/ZEB1. 	29475118	2018	Kockdown of OIP5-AS1 expression inhibits proliferation, metastasis and EMT progress in hepatoblastoma cells through up-regulating miR-186a-5p and down-regulating ZEB1.	0	0	1	1	0	0	0
OIP5-AS1	OIP5-AS1, cyrano, linc-OIP5	729082	ENSG00000247556	NR_026757	GRCh38_15:41283990-41309737	lung adenocarcinoma	C34	M8140/3	qRT-PCR, Western blot, Luciferase reporter assay, RIP	lung adenocarcinoma tissues, human lung adenocarcinoma cell lines (H1975 and HCC827)	up-regulated	the expression of OIP5-AS1 was definitely high in lung adenocarcinoma tissues and cells, while miR-448 was sluggishly expressed in lung adenocarcinoma. OIP5-AS1 and miR-448 was negatively related to each other, the result was obtained from Pearson correlation analysis. We discovered a fact that OIP5-AS1 could directly sponge miR-448 through using dual luciferase reporter assay, RIP assay and RNA pull-down assay. Cell proliferation, migration and invasion were restrained after we disrupted the expression of OIP5-AS1 in lung adenocarcinoma. We also certified that OIP5-AS1 could sponge and regulate miR-448 to affect cell function in lung adenocarcinoma. MiR-448 could target Bcl-2 and affect the expression of Bcl-2. 	29247949	2017	Long non-coding RNA OIP5-AS1 functions as an oncogene in lung adenocarcinoma through targeting miR-448/Bcl-2.	0	0	1	1	0	0	0
